"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","53","7","no-unused-vars","'FIELDS' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"2","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","366","27","no-empty","Empty block statement.","https://eslint.org/docs/latest/rules/no-empty","suggestion","eslint"
"3","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","423","18","no-unused-vars","'event' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"4","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","449","5","no-dupe-class-members","Duplicate name 'options'.","https://eslint.org/docs/latest/rules/no-dupe-class-members","problem","eslint"
"5","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","463","5","getter-return","Expected getter 'states' to always return a value.","https://eslint.org/docs/latest/rules/getter-return","problem","eslint"
"6","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","607","37","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"7","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","611","28","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"8","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","615","21","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"9","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","652","15","no-unused-vars","'modal' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"10","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","661","13","no-unused-vars","'startRange' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"11","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","662","13","no-unused-vars","'endRange' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"12","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","793","67","no-unused-vars","'allDay' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"13","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","793","75","no-unused-vars","'jsEvent' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"14","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","793","84","no-unused-vars","'view' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"15","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","841","59","no-empty","Empty block statement.","https://eslint.org/docs/latest/rules/no-empty","suggestion","eslint"
"16","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","847","37","no-unused-vars","'beginningTime' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"17","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","848","37","no-unused-vars","'endTime' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"18","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","849","37","no-unused-vars","'endPreviousBlock' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"19","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","850","37","no-unused-vars","'startPreviousBlock' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"20","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","851","37","no-unused-vars","'blockTimesList' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"21","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","852","37","no-unused-vars","'blockTimeObj' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"22","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","858","51","no-unused-vars","'calEvent' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"23","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","858","61","no-unused-vars","'jsEvent' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"24","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","858","70","no-unused-vars","'view' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"25","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","897","13","no-unused-vars","'newevent' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"26","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","900","13","no-unused-vars","'i' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"27","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","902","9","no-unused-vars","'ele' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"28","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","924","19","no-unused-vars","'result' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"29","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","928","21","no-unused-vars","'result' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"30","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1261","27","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"31","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1299","21","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"32","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1375","33","no-cond-assign","Expected a conditional expression and instead saw an assignment.","https://eslint.org/docs/latest/rules/no-cond-assign","problem","eslint"
"33","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1375","33","no-constant-condition","Unexpected constant condition.","https://eslint.org/docs/latest/rules/no-constant-condition","problem","eslint"
"34","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1630","17","no-unused-vars","'pk_PUBLISHABLE_KEY' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"35","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1631","17","no-unused-vars","'payment_intent_client_secret' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"36","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1632","17","no-unused-vars","'paymentSucceeded' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"37","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1633","19","no-unused-vars","'tilledAccountId' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"38","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1636","19","no-unused-vars","'fieldOptions' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"39","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1657","17","no-unused-vars","'nameValue' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"40","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1658","17","no-unused-vars","'countryValue' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"41","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1659","17","no-unused-vars","'zipValue' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"42","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1660","17","no-unused-vars","'cityValue' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"43","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1661","17","no-unused-vars","'stateValue' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"44","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1662","17","no-unused-vars","'streetValue' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"45","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1676","66","no-empty","Empty block statement.","https://eslint.org/docs/latest/rules/no-empty","suggestion","eslint"
"46","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1678","118","no-dupe-keys","Duplicate key 'enddate'.","https://eslint.org/docs/latest/rules/no-dupe-keys","problem","eslint"
"47","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1692","44","no-unused-vars","'result' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"48","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1701","60","no-unused-vars","'documentSignResult' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"49","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1707","60","no-unused-vars","'result' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"50","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1710","123","no-unused-vars","'result' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"51","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1714","67","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"52","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1718","63","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"53","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1746","26","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"54","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1931","13","no-undef","'receiptStepCompleted' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"55","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1960","56","no-undef","'receiptStepCompleted' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"56","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","1961","21","no-undef","'receiptStepCompleted' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"57","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","2119","13","no-debugger","Unexpected 'debugger' statement.","https://eslint.org/docs/latest/rules/no-debugger","problem","eslint"
"58","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","2238","78","no-undef","'EventTargetName' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
